Label,Link,Fridge,Freezer,Pantry
APRICOTS — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16400,,1 year (best quality),
"APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16403,,,12 months
"APRICOTS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18823,6-12 months,12-18 months,6-12 months
"AVOCADOS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16426,3-4 days,3-6 months,
"AVOCADOS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16427,3-5 days once ripe,3-6 months,4-7 days or until ripe
"BANANAS - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/16450,3-4 days,2-3 months,
"BANANAS - FRESH, RAW, WHOLE",https://www.stilltasty.com/Fooditems/index/16451,5-7 days once ripe,2-3 months,2-5 days or until ripe
"BANANAS, DRIED - UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18824,6-12 months,12-18 months,6-12 months
"BLACKBERRIES - FRESH, RAW",https://www.stilltasty.com/Fooditems/index/16549,2-3 days,10-12 months,
BLACKBERRIES — COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/16548,,1 year (best quality),
"PINEAPPLE  (CHUNKS, SLICED, CRUSHED, TIDBITS), COMMERCIALLY CANNED OR BOTTLED   — OPENED",https://www.stilltasty.com/Fooditems/index/18005,5-7 days,1-2 months,
"PINEAPPLE  (CHUNKS, SLICED, CRUSHED, TIDBITS), COMMERCIALLY CANNED OR BOTTLED   — UNOPENED",https://www.stilltasty.com/Fooditems/index/18006,,,18-24 months (best quality)
PINEAPPLE - COMMERCIALLY FROZEN,https://www.stilltasty.com/Fooditems/index/19111,,1 year,
"PINEAPPLE - FRESH, RAW, CUT UP",https://www.stilltasty.com/Fooditems/index/17992,3-4 days,10-12 months,
"PINEAPPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — OPENED",https://www.stilltasty.com/Fooditems/index/17994,7-10 days,8-12 months,
"PINEAPPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/17995,,8-12 months,12-18 months
"PINEAPPLE JUICE, SOLD IN REFRIGERATED CARTON - UNOPENED",https://www.stilltasty.com/Fooditems/index/17997,1 week after date on package,8-12 months,
"PINEAPPLE JUICE, SOLD IN REFRIGERATED CARTON — OPENED",https://www.stilltasty.com/Fooditems/index/17996,7-10 days,8-12 months (best quality),
"PINEAPPLE, CANDIED — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/18004,,,18 months
