Label,Link,Fridge,Freezer,Pantry
"PESTO, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/19118,,,450
"PESTO, SOLD IN REFRIGERATED CONTAINER - OPENED",https://www.stilltasty.com/Fooditems/index/17975,6,90,
"PESTO, SOLD IN REFRIGERATED CONTAINER - UNOPENED",https://www.stilltasty.com/Fooditems/index/17976,7,90,
"PLUM SAUCE / DUCK SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18021,365,,
"PLUM SAUCE / DUCK SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18022,,,1095
"POPPYSEED SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18813,210,,
ALFREDO SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18767,3,150,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - OPENED",https://www.stilltasty.com/Fooditems/index/16353,360,,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16354,,,540
"APPLE BUTTER, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16367,365,,
"APPLE BUTTER, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16368,,,730
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18799,210,,
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18800,,,450
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16454,210,,30
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16455,,,450
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16539,730,,
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16540,,,1095
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18801,210,,
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18802,,,450
"BOUILLON CUBES OR GRANULES, ALL TYPES (INCLUDING BEEF, CHICKEN, TURKEY, VEGETABLE, FISH) — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16596,,,730
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18961,365,,
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18966,,,730
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18803,210,,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18804,,,450
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED",https://www.stilltasty.com/Fooditems/index/16679,365,,
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - UNOPENED",https://www.stilltasty.com/Fooditems/index/16680,,,1095
CHEESE SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18768,3,150,
"CHILI SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16819,210,,30
"CHILI SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16820,,,450
"CHINESE MUSTARD, SOLD IN TUBE — OPENED",https://www.stilltasty.com/Fooditems/index/16841,360,,
"CHINESE MUSTARD, SOLD IN TUBE — UNOPENED",https://www.stilltasty.com/Fooditems/index/16842,,,360
"SOY (SOYA) SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18347,730,,180
"SOY (SOYA) SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18348,,,1095
"SPAGHETTI  SAUCE  / PASTA SAUCE, CREAM-BASED, COMMERCIALLY CANNED OR BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/18360,6,150,
SPAGHETTI  SAUCE / PASTA SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18842,3,150,
